,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
LUNA,,LUNA,LS,LUNA,-,-,Luna,Luna,-,,,,Luna,Luna             -,,-
OCEAN,,OCEAN,LS,EARTH,-,-,Ocean,Ocean launch sites,-,,,,-,Ocean            -,,-
AAAF,,HADC,LS,US,1941 Apr 13,1949 Dec  2,AAAF,Alamagordo Army Air Field,-,-106.1030,32.8496,0.0001,USAF,-                -,,-
ABER,,ABER,LS,UK,1959 Jun 29,1972 Jul 20,ABER  -,Aberporth Range,"Aberporth, Cardigan, Wales",-4.5548,52.1379,0.0001,RAE,-                -,,-
ACHINSK,,ACHINSK,LS,SU,1962,1964,Achinsk,Achinsk Missile Base,"Achinsk, Krasnoyarsk Krai",90.5800,56.27,0.2000,RVSN,-                -,,-
AFMDC,,HADC,LS,US,1957 Sep  1,1970 Aug  1,AFMDC,"Air Force Missile Development Center, Holloman Air Force Base","Alamagordo, New Mexico",-106.1030,32.8496,0.0001,USAF,-                -,,-
AFMTC,,CC,LS,US,1951 Jun 30,1955 Dec 16,AFMTC,Air Force Missile Test Center,"Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
AKHT,,AKHT,LS,BG,1984,-,Akhtopol,Akhtopol Meteorological Rocket Station,"Akhtopol, Bulgaria",27.9537,42.0846,0.0002,NIMHB,-                -,,-
AKT,,AKT,LS,J,1956 Sep 24,1962 May 24,AKT   -,Akita Rocket Range (ATC),"Michikawa, Akita City, Honshu, Nippon",140.0600,39.5700,0.0100,ISAS,-                -,,-
ALCA,,ALCA,LS,BR,1994 Aug 19,*,ALCA  -,"CLA, Alcantara Space Center","Alcantara, Maranhao, Brasil",-44.3671,-2.3170,0.0010,AEB,-                -,,-
ALNASR,,ALNASR,LS,SY,1992 Jul,*,SYRIA ALNASR,"Al Nasriyah missile base, Syria",-,36.8700,33.9285,0.0100,SYMC,-                -,,-
ALQAL,,ALQAL,LS,SY,1992 Jul,*,SYRIA ALQAL,"Al Qalamon, near Damascus, Syria",-,36.8700,33.9285,0.1000,SYMC,-                -,,-
ALSAFIR,,ALSAFIR,LS,SY,1992 Jul,*,MINAK -,"Syrian missile base, Al Safir, Aleppo, Syria (Base at Al Safir)",-,37.3508,36.0339,0.0010,SYMC,-                -,,-
ALSULAY,,ALSULAY,LS,SA,-,-,Al Sulayil,"Al Sulayil missile base, Saudi Arabia","al-Sulayil, Sauid Arabia",45.5836,20.7186,0.0010,SA,-                -,,-
ALT,,ALT,LS,US,-,-,ALT   -,Altus AFB,"Atlus, Oklahoma",-99.2743,34.6630,0.1000,SAC,-                -,,-
AMAR,,AMAR,LS,IQ,1985,1990,AMAR  -,Al 'Amarah missile launch site,"Al 'Amarah, Iraq",47.1500,31.8300,0.1000,IQ,-                -,,-
AMR,,AMR,LS,US,1958,1962,AMR   -,"Atlantic Missile Range Drop Zone, N Atlantic Ocean",Atlantic Ocean,-79.0000,29.0000,1.0000,USAF,-                -,,OCEAN
ANBAR,,ANBAR,LS,IQ,1989 Dec  5,*,ANBAR -,"Al-Anbar base, Al-Anbar province, Iraq","Al-Anbar, Iraq",43.5600,33.3700,0.5000,IQ,-                -,,-
AND,,AND,LS,N,1962 Aug 18,*,AND   -,"Andoya Rocket Range, Andoy, Nordland, Norge","Andoya, Nordland",16.0207,69.2943,0.0020,ARR,-                -,,-
ANHU,,ANHU,LS,KR,1993 Jun,*,ANHU  -,"Anhueng, Taean missile site, Ch'ungch'ong Namdo, Korea","Anhueng, Ch'ungch'ong Namdo",126.1000,36.4100,0.0200,ADD,-                -,,-
ANNA,,ANNA,LS,AU,1997 Sep  2,1997 Sep 11,ANNA  -,"Anna Plains, Western Australia",Anna Plains,121.5700,-19.2800,0.0500,NASA?,-                -,,-
ANT,,ANT,LS,AG,1972 May 16,1974 Jan 31,ANT   -,Antigua Air Force Station,Antigua,-61.7752,17.1371,0.0005,USAF,-                -,,-
APC,,APC,LS,LUNA,1972 Feb 22,1972 Feb 22,APC   KT-408,"KT No. 408, Luna-20 Site, Apollonius C, Mare Undarum B3",Luna,56.5500,3.5300,0.0100,NPOL,-                -,,-
ASC,,ASC,LS,SH,1964 Jan 29,1968?,ASC   -,"Ascension Island, Atlantic Ocean","Ascension Island, Atlantic Ocean",-14.4142,-7.9762,0.0001,USAF,-                -,,-
ASHU,,ASHU,LS,SU,-,-,Ashuluk,"Ashuluk, Rossiya",-,48.0343,47.4224,0.0001,PVO,-                -,,-
AUR,,AUR,LS,MH,1997 Feb,?,AUR   -,Aur Atoll launch site,"Bigen Island, Aur Atoll, Marshall Is.",171.0400,8.3600,0.0100,SMDC,-                -,,-
BALKH,,BALKH,LS,SU,1960,*,GNIIP-10 SSATC,"Sary Shagan Antimissile Test Center (NIIP-A, GNIIP-10), Balkash","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.0200,MO,-                -,,-
BARK,,BARK,LS,US,-,-,BARK  -,Barksdale AFB,Louisiana,-93.7300,32.5200,0.0200,USAF,-                -,,-
BARB,,BARB,LS,BB,1963 May 18,1968,BARB  -,"Barbados, Windward Islands",-,-59.4830,13.0670,0.0400,USAF,-                -,,-
BART,,BART,LS,US,1970 Mar  2,1970 Mar  5,BART  -,"Barter Island, Alaska",-,-143.6300,70.1100,0.0200,NASA/USAF?,-                -,,-
BEJ,,BEJ,LS,IR,2018,-,Bandar,"Bandar-e-Jask, Hormozgan",-,57.7740,25.6440,0.0200,IR,-                -,,-
BERM,,BERM,LS,BM,1962,1971,BERM  -,"NASA Bermuda, Kindley AFB, Coopers Island, Bermuda",-,-64.6566,32.3483,0.0010,NASA,-                -,,-
BERSH,,BERSH,LS,SU,1960s,1990s,BERSH,"Bershet missile base, Russia",-,56.3060,57.6920,0.0010,SU,-                -,,-
BCB,,BCB,LS,US,2016,-,Boca Chica,"Texas Launch Site, Boca Chica Beach, Texas",-,-97.1536,25.9964,0.0010,SPX,-                -,,-
BFL,,BFL,LS,NZ,1963,1963,BFL   -,"Birdling's Flat, Canterbury Plains, New Zealand",-,172.6800,-43.8167,0.0100,UCAN,-                -,,-
BHOT,,BHOT,LS,CN,1990?,-,BHOT,Bayan Hot test site,"Alxa, Nei Monggol",105.7000,38.8000,0.5000,PLA,-                -,,-
BIK,,BIK,LS,MH,1956,1956,BIK   -,"Pacific Proving Grounds, Bikini Island, Pacific Ocean",-,165.3300,11.5800,0.0400,USN,-                -,,-
BLAN,,BLAN,LS,US,1967,1980,BLAN  -,"Black Mesa, Blanding, Utah",-,-109.2900,37.3700,0.0200,USA,-                -,,-
BOHAI,,BOHAI,LZ,CN,-,-,Bohai -,Bohai launch area  (Some Yellow Sea launches may also be here),-,120.0000,38.7000,320000,CN,-                -,,OCEAN
BRET,,BRET,LS,F,1983,*,BRET  -,"Zone de lancement SNLE, Golfe de Gascogne, Bretagne",-,-4.5000,47.5000,0.7000,DGA,-                -,,-
BRETA,,BRETA,LS,F,2009,*,BRETA,"Zone de lancement SNLE, Baie d'Audierne","Baie D'Audierne, Bretagne",-4.0500,47.6300,0.0500,DGA,-                -,,-
BROCK,,BROCK,LS,US,2004,*,BROCK -,"Black Rock Desert, Nevada",-,-119.1400,40.8300,0.0500,USDI,-                -,,-
